,bond_price,stock_price,bond_rtn,stock_rtn,diff,bond_pos,stock_pos
2022-06-20 10:09:00,149.63,135.0,0.003083729972514604,0.013665715572908743,-0.01058198560039414,1.0,-1.0
2022-06-20 10:10:00,149.97,135.26,0.005363008647851553,0.01561796065475285,-0.010254952006901297,1.0,-1.0
2022-06-20 10:11:00,149.71,135.28,0.0036200308372997814,0.01576813335335636,-0.01214810251605658,1.0,-1.0
2022-06-20 10:12:00,150.13,135.91,0.0064356103774216855,0.020498573359363226,-0.01406296298194154,1.0,-1.0
2022-06-20 10:13:00,150.0,135.5,0.005564121472146022,0.017420033037993665,-0.011855911565847643,1.0,-1.0
2022-06-20 10:14:00,149.96,135.22,0.005295971039753544,0.015317615257546047,-0.010021644217792502,1.0,-1.0
2022-06-20 10:15:00,149.41,135.1,0.0016089025943555324,0.014416579065925639,-0.012807676471570106,1.0,-1.0
2022-06-20 10:16:00,149.57,135.32,0.0026815043239256653,0.016068478750562942,-0.013386974426637277,1.0,-1.0
2022-06-20 10:17:00,149.85,135.49,0.004558557350673675,0.01734494668869191,-0.012786389338018234,1.0,-1.0
2022-06-20 10:18:00,150.2,135.48,0.0069048736341086325,0.017269860339390153,-0.01036498670528152,1.0,-1.0
2022-06-20 10:19:00,150.11,135.2,0.006301535161225669,0.015167442558942756,-0.008865907397717088,1.0,-1.0
2022-06-20 10:20:00,149.94,134.83,0.005161895823557083,0.012389247634779998,-0.007227351811222915,1.0,-1.0
2022-06-20 10:21:00,150.18,135.29,0.006770798417912616,0.015843219702657896,-0.00907242128474528,1.0,-1.0
2022-06-20 10:22:00,150.02,135.12,0.005698196688342261,0.014566751764529151,-0.00886855507618689,1.0,-1.0
2022-06-20 10:23:00,149.92,135.12,0.005027820607360622,0.014566751764529151,-0.009538931157168529,1.0,-1.0
2022-06-20 10:24:00,149.98,134.8,0.005430046255949561,0.012163988586874952,-0.006733942330925391,1.0,-1.0
2022-06-20 10:25:00,149.83,134.72,0.004424482134477659,0.011563297792461347,-0.007138815657983688,1.0,-1.0
2022-06-20 10:26:00,149.64,134.25,0.0031507675806126123,0.008034239375281471,-0.004883471794668859,1.0,-1.0
2022-06-20 10:27:00,149.88,134.5,0.004759670174968145,0.009911398107824043,-0.0051517279328558985,1.0,-1.0
2022-06-20 10:28:00,149.98,134.76,0.005430046255949561,0.011863643189667927,-0.006433596933718366,1.0,-1.0
2022-06-20 10:29:00,149.89,134.79,0.004826707783066375,0.012088902237573196,-0.007262194454506821,1.0,-1.0
2022-06-20 10:30:00,149.99,134.82,0.0054970838640477915,0.012314161285478242,-0.006817077421430451,1.0,-1.0
2022-06-20 10:31:00,150.06,134.85,0.0059663471207347385,0.012539420333383289,-0.00657307321264855,1.0,-1.0
2022-06-20 10:32:00,150.21,135.27,0.006971911242207085,0.015693047004054606,-0.00872113576184752,1.0,-1.0
2022-06-20 10:33:00,150.35,135.46,0.007910437755580979,0.017119687640786863,-0.009209249885205884,1.0,-1.0
2022-06-20 10:34:00,150.34,135.36,0.007843400147482749,0.016368824147769967,-0.008525424000287218,1.0,-1.0
2022-06-20 10:35:00,150.31,135.59,0.007642287323188501,0.018095810181709027,-0.010453522858520525,1.0,-1.0
2022-06-20 10:36:00,150.64,135.86,0.009854528390426998,0.02012314161285489,-0.010268613222427891,1.0,-1.0
2022-06-20 10:37:00,150.56,135.53,0.009318227525642042,0.01764529208589871,-0.00832706456025667,1.0,-1.0
2022-06-20 10:38:00,150.8,135.84,0.010927130119997575,0.019972968914251377,-0.009045838794253802,1.0,-1.0
2022-06-20 10:39:00,151.18,136.1,0.013474559227726779,0.021925213996095483,-0.008450654768368704,1.0,-1.0
2022-06-20 10:40:00,151.27,136.7,0.014077897700610187,0.02643039495419708,-0.012352497253586892,1.0,-1.0
2022-06-20 10:41:00,151.06,136.58,0.012670107930549124,0.025529358762577115,-0.01285925083202799,1.0,-1.0
2022-06-20 10:42:00,151.08,136.1,0.012804183146745585,0.021925213996095483,-0.009121030849349898,1.0,-1.0
2022-06-20 10:43:00,150.84,136.45,0.011195280552390052,0.02455323622165473,-0.013357955669264676,1.0,-1.0
2022-06-20 10:44:00,151.36,137.0,0.014681236173493595,0.02868298543324821,-0.014001749259754614,1.0,-1.0
2022-06-20 10:45:00,151.45,136.88,0.015284574646376559,0.0277819492416278,-0.012497374595251243,1.0,-1.0
2022-06-20 10:46:00,151.25,136.52,0.013943822484413948,0.0250788406667668,-0.011135018182352852,1.0,-1.0
2022-06-20 10:47:00,151.38,136.66,0.014815311389689612,0.026130049556990498,-0.011314738167300886,1.0,-1.0
2022-06-20 10:48:00,150.75,136.94,0.010591942079506644,0.028232467337437894,-0.01764052525793125,1.0,-1.0
2022-06-20 10:49:00,151.4,137.07,0.014949386605886072,0.02920858987836006,-0.014259203272473986,1.0,-1.0
2022-06-20 10:50:00,151.06,136.45,0.012670107930549124,0.02455323622165473,-0.011883128291105605,1.0,-1.0
2022-06-20 10:51:00,150.77,136.34,0.010726017295703105,0.0237272863793363,-0.013001269083633193,1.0,-1.0
2022-06-20 10:52:00,150.7,136.08,0.010256754039015936,0.021775041297492193,-0.011518287258476256,1.0,-1.0
